attacktype1,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt
6,Hostage Taking (Kidnapping),7,Government (Diplomatic),13,Unknown
3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives
7,Facility/Infrastructure Attack,7,Government (Diplomatic),8,Incendiary
2,Armed Assault,3,Police,5,Firearms
3,Bombing/Explosion,21,Utilities,6,Explosives
7,Facility/Infrastructure Attack,4,Military,8,Incendiary
7,Facility/Infrastructure Attack,2,Government (General),8,Incendiary
3,Bombing/Explosion,4,Military,6,Explosives
7,Facility/Infrastructure Attack,4,Military,8,Incendiary
4,Hijacking,6,Airports & Aircraft,5,Firearms
7,Facility/Infrastructure Attack,2,Government (General),8,Incendiary
7,Facility/Infrastructure Attack,1,Business,8,Incendiary
3,Bombing/Explosion,8,Educational Institution,6,Explosives
3,Bombing/Explosion,1,Business,6,Explosives
7,Facility/Infrastructure Attack,1,Business,8,Incendiary
7,Facility/Infrastructure Attack,3,Police,8,Incendiary
3,Bombing/Explosion,8,Educational Institution,6,Explosives
3,Bombing/Explosion,4,Military,6,Explosives
7,Facility/Infrastructure Attack,22,Violent Political Party,8,Incendiary
3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives
7,Facility/Infrastructure Attack,14,Private Citizens & Property,8,Incendiary
2,Armed Assault,3,Police,5,Firearms
3,Bombing/Explosion,2,Government (General),6,Explosives
2,Armed Assault,3,Police,5,Firearms
7,Facility/Infrastructure Attack,2,Government (General),8,Incendiary
3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives
3,Bombing/Explosion,20,Unknown,6,Explosives
3,Bombing/Explosion,1,Business,6,Explosives
7,Facility/Infrastructure Attack,4,Military,8,Incendiary
3,Bombing/Explosion,3,Police,6,Explosives
7,Facility/Infrastructure Attack,2,Government (General),8,Incendiary
2,Armed Assault,3,Police,5,Firearms
7,Facility/Infrastructure Attack,1,Business,8,Incendiary
7,Facility/Infrastructure Attack,1,Business,8,Incendiary
7,Facility/Infrastructure Attack,1,Business,8,Incendiary
3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives
3,Bombing/Explosion,19,Transportation,6,Explosives
3,Bombing/Explosion,2,Government (General),6,Explosives
3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives
7,Facility/Infrastructure Attack,2,Government (General),8,Incendiary
7,Facility/Infrastructure Attack,21,Utilities,8,Incendiary
7,Facility/Infrastructure Attack,1,Business,8,Incendiary
7,Facility/Infrastructure Attack,4,Military,8,Incendiary
7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary
3,Bombing/Explosion,1,Business,6,Explosives
3,Bombing/Explosion,1,Business,6,Explosives
3,Bombing/Explosion,1,Business,6,Explosives
3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives
2,Armed Assault,6,Airports & Aircraft,5,Firearms
7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary
3,Bombing/Explosion,3,Police,6,Explosives
7,Facility/Infrastructure Attack,14,Private Citizens & Property,8,Incendiary
3,Bombing/Explosion,3,Police,6,Explosives
3,Bombing/Explosion,1,Business,6,Explosives
7,Facility/Infrastructure Attack,4,Military,8,Incendiary
3,Bombing/Explosion,3,Police,6,Explosives
3,Bombing/Explosion,1,Business,6,Explosives
3,Bombing/Explosion,1,Business,6,Explosives
2,Armed Assault,3,Police,5,Firearms
3,Bombing/Explosion,1,Business,6,Explosives
3,Bombing/Explosion,21,Utilities,6,Explosives
3,Bombing/Explosion,8,Educational Institution,6,Explosives
3,Bombing/Explosion,4,Military,6,Explosives
3,Bombing/Explosion,3,Police,6,Explosives
3,Bombing/Explosion,3,Police,6,Explosives
7,Facility/Infrastructure Attack,2,Government (General),8,Incendiary
7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary
3,Bombing/Explosion,8,Educational Institution,6,Explosives
3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives
3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives
7,Facility/Infrastructure Attack,3,Police,8,Incendiary
7,Facility/Infrastructure Attack,4,Military,8,Incendiary
3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives
7,Facility/Infrastructure Attack,14,Private Citizens & Property,8,Incendiary
7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary
3,Bombing/Explosion,21,Utilities,6,Explosives
3,Bombing/Explosion,21,Utilities,6,Explosives
3,Bombing/Explosion,21,Utilities,6,Explosives
3,Bombing/Explosion,21,Utilities,6,Explosives
3,Bombing/Explosion,21,Utilities,6,Explosives
3,Bombing/Explosion,4,Military,6,Explosives
3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives
7,Facility/Infrastructure Attack,4,Military,8,Incendiary
3,Bombing/Explosion,8,Educational Institution,6,Explosives
3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives
3,Bombing/Explosion,4,Military,6,Explosives
7,Facility/Infrastructure Attack,4,Military,8,Incendiary
7,Facility/Infrastructure Attack,3,Police,8,Incendiary
3,Bombing/Explosion,3,Police,6,Explosives
7,Facility/Infrastructure Attack,14,Private Citizens & Property,8,Incendiary
6,Hostage Taking (Kidnapping),2,Government (General),13,Unknown
3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives
3,Bombing/Explosion,2,Government (General),6,Explosives
3,Bombing/Explosion,4,Military,6,Explosives
3,Bombing/Explosion,19,Transportation,6,Explosives
3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives
3,Bombing/Explosion,2,Government (General),6,Explosives
3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives
1,Assassination,4,Military,5,Firearms
3,Bombing/Explosion,3,Police,6,Explosives
3,Bombing/Explosion,3,Police,6,Explosives
7,Facility/Infrastructure Attack,8,Educational Institution,8,Incendiary
