attacktype1,targtype1,weaptype1,attacktype1_txt,targtype1_txt,weaptype1_txt
7,16,8,Facility/Infrastructure Attack,Telecommunication,Incendiary
7,1,8,Facility/Infrastructure Attack,Business,Incendiary
7,3,8,Facility/Infrastructure Attack,Police,Incendiary
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
7,10,8,Facility/Infrastructure Attack,Journalists & Media,Incendiary
7,10,8,Facility/Infrastructure Attack,Journalists & Media,Incendiary
7,10,8,Facility/Infrastructure Attack,Journalists & Media,Incendiary
7,10,8,Facility/Infrastructure Attack,Journalists & Media,Incendiary
7,10,8,Facility/Infrastructure Attack,Journalists & Media,Incendiary
7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary
3,20,6,Bombing/Explosion,Unknown,Explosives
7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary
3,20,6,Bombing/Explosion,Unknown,Explosives
7,2,8,Facility/Infrastructure Attack,Government (General),Incendiary
7,14,5,Facility/Infrastructure Attack,Private Citizens & Property,Firearms
3,20,6,Bombing/Explosion,Unknown,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,2,6,Bombing/Explosion,Government (General),Explosives
2,14,9,Armed Assault,Private Citizens & Property,Melee
1,3,6,Assassination,Police,Explosives
3,1,6,Bombing/Explosion,Business,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,1,6,Bombing/Explosion,Business,Explosives
3,1,6,Bombing/Explosion,Business,Explosives
3,1,6,Bombing/Explosion,Business,Explosives
3,3,6,Bombing/Explosion,Police,Explosives
7,1,8,Facility/Infrastructure Attack,Business,Incendiary
7,1,8,Facility/Infrastructure Attack,Business,Incendiary
7,1,8,Facility/Infrastructure Attack,Business,Incendiary
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
3,3,6,Bombing/Explosion,Police,Explosives
7,1,8,Facility/Infrastructure Attack,Business,Incendiary
3,15,6,Bombing/Explosion,Religious Figures/Institutions,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
7,1,8,Facility/Infrastructure Attack,Business,Incendiary
2,3,5,Armed Assault,Police,Firearms
1,14,5,Assassination,Private Citizens & Property,Firearms
3,15,6,Bombing/Explosion,Religious Figures/Institutions,Explosives
6,10,5,Hostage Taking (Kidnapping),Journalists & Media,Firearms
3,20,6,Bombing/Explosion,Unknown,Explosives
3,8,6,Bombing/Explosion,Educational Institution,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,15,6,Bombing/Explosion,Religious Figures/Institutions,Explosives
7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,22,6,Bombing/Explosion,Violent Political Party,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,22,6,Bombing/Explosion,Violent Political Party,Explosives
3,8,6,Bombing/Explosion,Educational Institution,Explosives
7,1,5,Facility/Infrastructure Attack,Business,Firearms
3,19,6,Bombing/Explosion,Transportation,Explosives
7,3,8,Facility/Infrastructure Attack,Police,Incendiary
7,3,8,Facility/Infrastructure Attack,Police,Incendiary
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
7,1,8,Facility/Infrastructure Attack,Business,Incendiary
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,15,6,Bombing/Explosion,Religious Figures/Institutions,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
1,10,5,Assassination,Journalists & Media,Firearms
3,3,6,Bombing/Explosion,Police,Explosives
3,15,6,Bombing/Explosion,Religious Figures/Institutions,Explosives
7,10,5,Facility/Infrastructure Attack,Journalists & Media,Firearms
7,10,5,Facility/Infrastructure Attack,Journalists & Media,Firearms
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,3,6,Bombing/Explosion,Police,Explosives
7,3,8,Facility/Infrastructure Attack,Police,Incendiary
7,3,8,Facility/Infrastructure Attack,Police,Incendiary
7,1,8,Facility/Infrastructure Attack,Business,Incendiary
3,2,6,Bombing/Explosion,Government (General),Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,2,6,Bombing/Explosion,Government (General),Explosives
3,22,6,Bombing/Explosion,Violent Political Party,Explosives
2,1,5,Armed Assault,Business,Firearms
3,3,6,Bombing/Explosion,Police,Explosives
7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
7,3,8,Facility/Infrastructure Attack,Police,Incendiary
3,1,6,Bombing/Explosion,Business,Explosives
3,1,6,Bombing/Explosion,Business,Explosives
1,2,5,Assassination,Government (General),Firearms
3,1,6,Bombing/Explosion,Business,Explosives
3,20,6,Bombing/Explosion,Unknown,Explosives
7,1,8,Facility/Infrastructure Attack,Business,Incendiary
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,3,6,Bombing/Explosion,Police,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,3,6,Bombing/Explosion,Police,Explosives
3,10,6,Bombing/Explosion,Journalists & Media,Explosives
3,2,6,Bombing/Explosion,Government (General),Explosives
3,19,6,Bombing/Explosion,Transportation,Explosives
3,2,2,Bombing/Explosion,Government (General),Chemical
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
7,3,8,Facility/Infrastructure Attack,Police,Incendiary
7,21,5,Facility/Infrastructure Attack,Utilities,Firearms
3,10,6,Bombing/Explosion,Journalists & Media,Explosives
7,1,8,Facility/Infrastructure Attack,Business,Incendiary
2,8,5,Armed Assault,Educational Institution,Firearms
3,6,6,Bombing/Explosion,Airports & Aircraft,Explosives
4,20,6,Hijacking,Unknown,Explosives
3,8,6,Bombing/Explosion,Educational Institution,Explosives
3,15,6,Bombing/Explosion,Religious Figures/Institutions,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
2,3,5,Armed Assault,Police,Firearms
2,14,9,Armed Assault,Private Citizens & Property,Melee
7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
3,20,6,Bombing/Explosion,Unknown,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,1,6,Bombing/Explosion,Business,Explosives
3,2,6,Bombing/Explosion,Government (General),Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
3,1,6,Bombing/Explosion,Business,Explosives
7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
3,3,6,Bombing/Explosion,Police,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
8,2,1,Unarmed Assault,Government (General),Biological
8,14,1,Unarmed Assault,Private Citizens & Property,Biological
8,2,1,Unarmed Assault,Government (General),Biological
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
2,4,9,Armed Assault,Military,Melee
7,15,9,Facility/Infrastructure Attack,Religious Figures/Institutions,Melee
7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
2,4,9,Armed Assault,Military,Melee
7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary
2,15,8,Armed Assault,Religious Figures/Institutions,Incendiary
3,20,6,Bombing/Explosion,Unknown,Explosives
5,3,9,Hostage Taking (Barricade Incident),Police,Melee
8,10,12,Unarmed Assault,Journalists & Media,Other
8,10,12,Unarmed Assault,Journalists & Media,Other
3,3,6,Bombing/Explosion,Police,Explosives
3,2,6,Bombing/Explosion,Government (General),Explosives
3,20,6,Bombing/Explosion,Unknown,Explosives
3,14,6,Bombing/Explosion,Private Citizens & Property,Explosives
7,14,8,Facility/Infrastructure Attack,Private Citizens & Property,Incendiary
3,2,6,Bombing/Explosion,Government (General),Explosives
3,2,6,Bombing/Explosion,Government (General),Explosives
3,2,6,Bombing/Explosion,Government (General),Explosives
3,20,6,Bombing/Explosion,Unknown,Explosives
7,15,8,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary
