eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
2.01301E+11,2013,1,3,,0,,603,United Kingdom,8,Western Europe,England,Bathampton,51.393949,-2.319144,1,0,,"01/03/2013: An assailant set fire to a communications mast in Bathampton town, South West region, England, United Kingdom. There were no injuries in the attack; however, television, radio, and mobile services were disrupted for approximately 80,000 residents. Police arrested one individual in connection with the attack. The Informal Anarchist Federation claimed responsibility for the incident in a post online.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,16,Telecommunication,,,Arqiva,Communications Mast,216,Great Britain,,,,,,,,,,,,,,,,,Informal Anarchist Federation,,,,,,,0,,,0,1,1,1,7,"Posted to website, blog, etc.",,,,,,,,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,,0,0,0,0,0,0,1,4,Unknown,-99,A communications mast was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Man arrested over Bath mast 'arson',"" BBC, July 25, 2014.","""Bath transmitter is fixed after arson attack,"" BBC, January 3, 2013.","""Man arrested over ""anarchist"" arson attacks on cars in St George, Bristol,"" Bristol Post, July 25, 2014.",START Primary Collection,1,1,1,1,
2.01301E+11,2013,1,3,,0,,69,France,8,Western Europe,Nouvelle-Aquitaine,Bassussarry,43.439252,-1.487022,1,0,"The incident occurred at 2 Chemin de l'Aviation, 64200.","01/03/2013: Assailants attempted to set fire to a real estate agency in Bassussarry, Nouvelle-Aquitaine, France. There were no reported casualties. An unknown group claimed responsibility for the incident and spray-painted ""The Basque country is not for sale"" on the building.",1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,1,Business,,,Morancais,Real Estate Agency,69,France,,,,,,,,,,,,,,,,,Unknown,,,,,,"An unknown group claimed responsibility for the incident and stated ""The Basque country is not for sale.""",0,,,0,-99,0,1,5,Note left at scene,,,,,,,,8,Incendiary,18,Arson/Fire,,,,,,,,,,,,,Two gas cylinders were used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A window was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""A slogan for voluntary fires,"" Mediabask, May 31, 2017.",,,START Primary Collection,-9,-9,0,-9,
2.01301E+11,2013,1,5,,0,,38,Canada,1,North America,British Columbia,Vancouver,49.282729,-123.120737,1,0,,"01/05/2013: Assailants threw an incendiary device at a Royal Canadian Mounted Police (RCMP) vehicle in Vancouver, Canada. There were no reported casualties in the attack. The Animal Liberation Front (ALF) claimed responsibility for the incident and stated that the victim was targeted for owning a fur store.",1,1,1,0,,,0,0,0,7,Facility/Infrastructure Attack,,,,,3,Police,23,Police Patrol (including vehicles and convoys),Royal Canadian Mounted Police (RCMP),Vehicle,38,Canada,,,,,,,,,,,,,,,,,Animal Liberation Front (ALF),,,,,,The Animal Liberation Front (ALF) claimed responsibility for the incident and stated that the victim was targeted for owning a fur store.,0,,,0,-99,0,1,4,E-mail,,,,,,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,,,,,A Molotov cocktail was used in the attack.,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Animal rights extremists throw Molotov cocktail at VPD cruiser,"" CTV News, January 9, 2013.",,,START Primary Collection,0,1,0,1,
2.01301E+11,2013,1,8,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,54.554345,-6.025275,1,0,The incident occurred in the Jasmine End Area.,"01/08/2013: A pipe bomb was discovered on a public street in Belfast city, Belfast district, Northern Ireland, United Kingdom. The device was brought to a Restorative Justice center, where it was safely defused without causing injury. No group claimed responsibility for the unsuccessful incident.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Twinbrook Estate,233,Northern Ireland,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Man brings viable bomb to office,"" BBC, January 9, 2013.","""Pipe-bomb find in west Belfast,"" Belfast Telegraph Online, January 9, 2013.","""Pipe   bomb discovered,"" The Irish News, January 9, 2013.",START Primary Collection,-9,-9,1,1,
2.01301E+11,2013,1,10,,0,,96,Ireland,8,Western Europe,Limerick,Limerick,52.66743,-8.629471,1,0,,"01/10/2013: Two pipe bombs were discovered near a halting site in Limerick city, Munster, Ireland. The devices were safely defused without causing injury. No group claimed responsibility for the unsuccessful incident.",1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,79,"Public Area (garden, parking lot, garage, beach, public building, camp)",Not Applicable,Caravan Site,96,Ireland,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,-99,0,0,,,,,,,,,,6,Explosives,31,Pipe Bomb,,,,,,,,,,,,,Two pipe bombs were used in the attack.,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Probe as pipe bombs found near halting site,"" Irish Independent, January 11, 2013.","""Pipe bombs made safe,"" Evening Herald, January 10, 2013.","""Pipe bombs discovered in Limerick city,"" Limerick Leader, January 10, 2013.",START Primary Collection,-9,-9,0,-9,
2.01301E+11,2013,1,11,,0,,78,Greece,8,Western Europe,Attica,Athens,37.99749,23.762728,1,0,The incident occurred in the Agia Paraskevi neighborhood.,"01/11/2013: An incendiary device detonated at Antonis Liaros's private residence in Agia Paraskevi district, Athens city, Attica region, Greece. Liaros, a journalist, was not injured in the attack, although the building was damaged. This was one of five coordinated attacks targeting journalists in the city on the same night. Two groups, Militant Minority (Greece) and Circle of Violators/Nucleus Lovers of Anomy, claimed responsibility for the incidents.",1,1,1,0,,,1,1,0,7,Facility/Infrastructure Attack,,,,,10,Journalists & Media,55,Television Journalist/Staff/Facility,Unknown,Journalist: Antonis Liaros,78,Greece,,,,,,,,,,,,,,,,,Militant Minority (Greece),,Circle of Violators/Nucleus Lovers of Anomy,,,,"In a statement posted on a website, two groups, Militant Minority and Circle of Violators/Nucleus Lovers of Anomy, jointly claimed responsibility for the attack and stated that media coverage of the ongoing Greek financial crisis was sympathetic to the government.",0,0,,0,-99,0,1,7,"Posted to website, blog, etc.",1,7,"Posted to website, blog, etc.",,,,0,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,An incendiary device consisting of two gas canisters was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,A civilian home was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Makeshift bombs explode outside homes of Greek journalists,"" Reuters, January 11, 2013.","""Greek media targeted by arsonists,"" BBC, January 11, 2013.","""Greece: Barrage of Fire-Bomb Attacks Occurs Outside Journalists' Homes,"" ANA-MPA, January 11, 2013.",START Primary Collection,0,0,0,0,"201301110006, 201301110007, 201301110008, 201301110009, 201301110010"
2.01301E+11,2013,1,11,,0,,78,Greece,8,Western Europe,Attica,Athens,37.99749,23.762728,1,0,The incident occurred in the Likavittos area.,"01/11/2013: An incendiary device detonated at journalist George Oikonomeas's former residence in Lykavittos district, Athens city, Attica region, Greece. There were no reported casualties resulting from the attack, although the building was damaged. This was one of five coordinated attacks targeting journalists in the city on the same night. Two groups, Militant Minority (Greece) and Circle of Violators/Nucleus Lovers of Anomy, claimed responsibility for the incidents.",1,1,1,0,,,1,1,0,7,Facility/Infrastructure Attack,,,,,10,Journalists & Media,55,Television Journalist/Staff/Facility,Unknown,Journalist: George Oikonomeas,78,Greece,,,,,,,,,,,,,,,,,Militant Minority (Greece),,Circle of Violators/Nucleus Lovers of Anomy,,,,"In a statement posted on a website, two groups, Militant Minority and Circle of Violators/Nucleus Lovers of Anomy, jointly claimed responsibility for the attack and stated that media coverage of the ongoing Greek financial crisis was sympathetic to the government.",0,0,,0,-99,0,1,7,"Posted to website, blog, etc.",1,7,"Posted to website, blog, etc.",,,,0,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,An incendiary device consisting of two gas canisters was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,The entrance to a civilian home was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Greek media targeted by arsonists,"" BBC, January 11, 2013.","""Makeshift bombs explode outside homes of Greek journalists,"" Reuters, January 11, 2013.","""Five Greek Journalists Targeted in Arson Attacks,"" Dow Jones News Service, January 11, 2013.",START Primary Collection,0,0,0,0,"201301110006, 201301110007, 201301110008, 201301110009, 201301110010"
2.01301E+11,2013,1,11,,0,,78,Greece,8,Western Europe,Attica,Athens,37.99749,23.762728,1,0,The incident occurred in the Penteli neighborhood.,"01/11/2013: An incendiary device detonated at Antonis Skyllakos's private residence in Penteli district, Athens city, Attica region, Greece. Skyllakos, the director of the Athens News Agency, was not injured in the attack, although the building was damaged. This was one of five coordinated attacks targeting journalists in the city on the same night. Two groups, Militant Minority (Greece) and Circle of Violators/Nucleus Lovers of Anomy, claimed responsibility for the incidents.",1,1,1,0,,,1,1,0,7,Facility/Infrastructure Attack,,,,,10,Journalists & Media,55,Television Journalist/Staff/Facility,Athens News Agency,Director: Antonis Skyllakos,78,Greece,,,,,,,,,,,,,,,,,Militant Minority (Greece),,Circle of Violators/Nucleus Lovers of Anomy,,,,"In a statement posted on a website, two groups, Militant Minority and Circle of Violators/Nucleus Lovers of Anomy, jointly claimed responsibility for the attack and stated that media coverage of the ongoing Greek financial crisis was sympathetic to the government.",0,0,,0,-99,0,1,7,"Posted to website, blog, etc.",1,7,"Posted to website, blog, etc.",,,,0,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,An incendiary device consisting of two gas canisters was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,The entrance to a civilian home was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Greek media targeted by arsonists,"" BBC, January 11, 2013.","""Makeshift bombs explode outside homes of Greek journalists,"" Reuters, January 11, 2013.","""Five Greek Journalists Targeted in Arson Attacks,"" Dow Jones News Service, January 11, 2013.",START Primary Collection,0,0,0,0,"201301110006, 201301110007, 201301110008, 201301110009, 201301110010"
2.01301E+11,2013,1,11,,0,,78,Greece,8,Western Europe,Attica,Athens,37.99749,23.762728,1,0,The incident occurred in the Maroussi neighborhood.,"01/11/2013: An incendiary device detonated at Chris Konstas's private residence in Maroussi district, Athens city, Attica region, Greece. Konstas, a journalist, was not injured in the attack, although the building was damaged. This was one of five coordinated attacks targeting journalists in the city on the same night. Two groups, Militant Minority (Greece) and Circle of Violators/Nucleus Lovers of Anomy, claimed responsibility for the incidents.",1,1,1,0,,,1,1,0,7,Facility/Infrastructure Attack,,,,,10,Journalists & Media,55,Television Journalist/Staff/Facility,Unknown,Journalist: Chris Konstas,78,Greece,,,,,,,,,,,,,,,,,Militant Minority (Greece),,Circle of Violators/Nucleus Lovers of Anomy,,,,"In a statement posted on a website, two groups, Militant Minority and Circle of Violators/Nucleus Lovers of Anomy, jointly claimed responsibility for the attack and stated that media coverage of the ongoing Greek financial crisis was sympathetic to the government.",0,0,,0,-99,0,1,7,"Posted to website, blog, etc.",1,7,"Posted to website, blog, etc.",,,,0,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,An incendiary device consisting of two gas canisters was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,The entrance to a civilian home was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Greek media targeted by arsonists,"" BBC, January 11, 2013.","""Makeshift bombs explode outside homes of Greek journalists,"" Reuters, January 11, 2013.","""Five Greek Journalists Targeted in Arson Attacks,"" Dow Jones News Service, January 11, 2013.",START Primary Collection,0,0,0,0,"201301110006, 201301110007, 201301110008, 201301110009, 201301110010"
2.01301E+11,2013,1,11,,0,,78,Greece,8,Western Europe,Attica,Athens,37.99749,23.762728,1,0,The incident occurred in the Alimos neighborhood.,"01/11/2013: An incendiary device detonated at Petros Karsiotis's private residence in Alimos district, Athens city, Attica region, Greece. Karsiotis, a journalist, was not injured in the attack, although the building was damaged. This was one of five coordinated attacks targeting journalists in the city on the same night. Two groups, Militant Minority (Greece) and Circle of Violators/Nucleus Lovers of Anomy, claimed responsibility for the incidents.",1,1,1,0,,,1,1,0,7,Facility/Infrastructure Attack,,,,,10,Journalists & Media,55,Television Journalist/Staff/Facility,Unknown,Journalist: Petros Karsiotis,78,Greece,,,,,,,,,,,,,,,,,Militant Minority (Greece),,Circle of Violators/Nucleus Lovers of Anomy,,,,"In a statement posted on a website, two groups, Militant Minority and Circle of Violators/Nucleus Lovers of Anomy, jointly claimed responsibility for the attack and stated that media coverage of the ongoing Greek financial crisis was sympathetic to the government.",0,0,,0,-99,0,1,7,"Posted to website, blog, etc.",1,7,"Posted to website, blog, etc.",,,,0,8,Incendiary,20,Gasoline or Alcohol,,,,,,,,,,,,,An incendiary device consisting of two gas canisters was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),-99,The entrance to a civilian home was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""Greek media targeted by arsonists,"" BBC, January 11, 2013.","""Makeshift bombs explode outside homes of Greek journalists,"" Reuters, January 11, 2013.","""Five Greek Journalists Targeted in Arson Attacks,"" Dow Jones News Service, January 11, 2013.",START Primary Collection,0,0,0,0,"201301110006, 201301110007, 201301110008, 201301110009, 201301110010"
